AuthorityName,authority_id,Region,Sector,FOISA requests,FOISA closed - unclear,FOISA closed - withdrawn,FOISA fees notice,FOISA - fees paid,FOISA response on time,FOISA response late,FOISA - faliure to respond,FOISA refused - cost,FOISA - vexatious,FOISA - repeated,FOISA - full release,FOISA - none released,FOISA - some released,FOISA - none held ,FOISA - no confirm/deny,EIR requests,EIR closed - unclear ,EIR closed - withdrawn,EIRs fees notice,EIRs - fees paid,EIRs response on time,EIRs response late,EIRs - failure to respond,EIR timescale extended,EIRs refused - cost,EIRs - manifestly unreasonable,EIRs - full release,EIRs - none released ,EIRs - some released,EIRs - none held,EIRs - no confirm/deny,Subject Access Requests,FOISA reviews ,FOISA review - on time,FOISA review - late response,FOISA review - failure to respond,FOISA review - wholly/partially upheld,FOISA review - substituted decision,FOISA review - decision reached ,EIRs reviews,EIRs review - on time,EIRs review - late response ,EIRs review - failure to respond,EIR review - upheld,EIR review - not upheld,Otherwise accessible,Publication Scheme ,Disclosure prohibited: enactment ,Disclosure prohibited: EU obligation,Disclosure prohibited: Contempt of Court,Future publication: 12 weeks,Future publication: programme of research,Substantial prejudice to UK relations ,Formulation/development of government policy,Ministerial communications,Advice by Law Officers,Operation of Ministerial private office,Substantial prejudice to collective responsibility of Scottish Ministers,Substantial inhibition to free and frank provision of advice,Substantial inhibition to free and frank exchange of views,Substantial prejudice to effective conduct of public affairs,National security,Substantial prejudice to defence ,Substantial prejudice to international relations,Confidential information obtained from abroad,Trade secret,Substantial prejudice to commercial interests,Substantial prejudice to the economic interests of the UK,Substantial prejudice to the financial interests of a UK administration,Information held for the purposes of a criminal investigation,Information held for ongoing Fatal Accident Inquiry,Information held regarding cause of death,Information relating to the obtaining of information from confidential sources,Information held for purposes of civil proceedings arising out of investigations,Substantial prejudice to prevention or detection of crime,Substantial prejudice to apprehension or prosecution of offenders,Substantial prejudice to administration of justice,Substantial prejudice to assessment or collection of tax or duty,Substantial prejudice to operation of immigration controls,Substantial prejudice to maintenance of security and good order in prisons,Substantial prejudice to the exercise by a public authority for any of its functions,Substantial prejudice to civil proceedings brought by an authority,Confidentiality of communications,Actionable breach of confidence,Court records,Court records: inquiry or arbitration,Personal data of the applicant,Third party personal data ,Personal census information,Deceased person's health record,Endangerment to health or safety,Environmental information ,Substantial prejudice to audit function,Communications with the Royal Family and honours,Material in course of completion,Internal Communications,Substantial prejudice to international relations public safety etc.,Substantial prejudice to course of justice etc.,Substantial prejudice to intellectual property rights,Substantial prejudice to confidentiality of proceedings,Substantial prejudice to confidentiality of commercial or industrial information ,Substantial prejudice to the interests of a third party,Substantial prejudice to the protection of the environment,Neither confirm nor deny whether environmental information held,Personal data of the applicant,Third party personal data,Neither confirm or deny whether personal data held
Assessor & Electoral Registration Officer for Dumfries and Galloway,16,Dumfries and Galloway,Local Government,10,,,,,10,,,,,,3,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assessor for Fife Council,18,Fife,Local Government,15,0,0,0,0,14,1,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assessor for Grampian Valuation Joint Board & Grampian Valuation Joint Board,20,Grampian,Local Government,12,0,0,0,0,12,0,0,0,0,0,7,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assessor for Highland and Western Isles Valuation Joint Board,21,Highland and Islands,Local Government,8,0,0,0,0,5,3,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assessor for Lanarkshire Valuation Joint Board,22,Strathclyde,Local Government,14,0,0,0,0,14,0,0,0,0,0,6,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,
Assessor for Lothian Valuation Joint Board and the Lothian Valuation Joint Board,23,Lothian and Borders,Local Government,12,0,0,0,0,9,0,0,0,0,0,8,0,2,1,0,,,,,,,,,0,0,0,,,,,,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assessor for Scottish Borders Council,26,Lothian and Borders,Local Government,5,0,0,0,0,5,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assessor for Tayside Valuation Joint Board,27,Tayside,Local Government,9,0,0,0,0,8,1,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Audit Scotland,28,National,Others e.g. NDPBs,29,0,0,0,0,28,1,0,0,0,0,17,1,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Auditor General for Scotland,29,National,Others e.g. NDPBs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ayrshire and Arran Health Board,31,Ayrshire,National Health Service,597,,3,,,566,25,,74,,,329,12,214,25,,19,,,,,18,2,,,1,,10,,6,3,,3,6,6,,,4,,,0,,,,,,9,2,,,,,,,,,,,,,,8,,,,,,19,,,,,,,,,,,,,,,,,,,,3,56,,1,,,,,,1,,,,,1,,,,,3,
Ayrshire Valuation Joint Board,32,Ayrshire,Local Government,5,,,,,5,,,,,,1,,1,3,,0,,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,
Board of Trustees for the National Galleries of Scotland,34,National,Others e.g. NDPBs,18,,1,,,14,2,,,,,5,1,7,3,,2,,,,,1,1,,,1,,1,,,,,1,0,,,,,,,0,,,,,,2,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
Board of Trustees of the National Museums of Scotland,35,National,Others e.g. NDPBs,27,1,0,0,0,26,0,0,0,0,0,17,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
Board of Trustees of the Royal Botanic Garden Edinburgh,36,Lothian and Borders,Others e.g. NDPBs,8,0,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bord na Gaidhlig,37,National,Others e.g. NDPBs,7,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borders College,38,Lothian and Borders,Educational Institutions,19,0,0,0,0,12,0,0,0,0,0,14,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Borders Health Board,39,Lothian and Borders,National Health Service,548,5,6,0,0,528,13,0,42,0,0,315,0,178,15,0,22,0,0,0,0,22,0,0,0,0,0,12,0,5,1,0,523,3,3,0,0,2,0,1,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,54,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Cairngorms National Park Authority,40,Highland and Islands,Others e.g. NDPBs,14,1,0,0,0,8,0,0,0,0,0,13,0,0,0,0,15,0,0,0,0,13,1,0,0,0,0,15,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Edinburgh Council,45,Lothian and Borders,Local Government,1476,57,13,2,1,1261,358,0,116,1,2,555,373,598,429,1,941,28,10,26,13,881,155,0,5,5,21,444,172,354,259,0,686,87,81,6,0,67,6,14,54,48,6,0,38,26,179,1,13,0,0,4,0,0,0,0,0,0,0,3,9,36,0,0,0,0,0,32,0,0,1,0,0,0,0,11,0,3,0,0,0,0,0,3,2,0,0,4,99,0,0,2,1,0,0,5,0,0,15,8,7,18,3,1,0,24,144,15
City of Edinburgh Licensing Board,46,Lothian and Borders,Local Government,10,0,0,0,0,9,1,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clackmannanshire Council and Licensing Board,47,Central,Local Government,1195,14,1,,,1100,80,1,3,1,,1052,16,19,34,2,1,,,,,1,,,,,,,1,,,,,23,23,,,18,4,1,,,,,,,62,,,,,1,,,,,,,,1,,3,,,,,,1,,,,,,,,,,,,,,,,2,1,,,1,9,,,,,,,,,,,1,,,,,,,,
Comhairle nan Eilean Siar,51,Highland and Islands,Local Government,1309,24,2,6,0,1165,85,58,0,0,0,1169,0,6,22,0,4,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,28,15,14,1,0,3,0,12,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crofting Commission,52,National,Others e.g. NDPBs,11,,,,,12,,,,,,4,,1,6,,20,,2,3,3,17,,,,,,4,,12,1,,2,1,1,,,1,,,,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,11,,,,,,,,,,,,,10,10,
Crown Office and Procurator Fiscal Service,53,National,Non Ministerial Officeholders,243,1,14,0,0,215,10,0,36,0,4,54,57,43,49,2,0,0,0,0,0,0,0,0,0,0,0,6,9,16,13,0,257,34,41,0,0,38,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,3,0,0,23,0,15,0,0,9,6,7,0,0,0,0,0,0,0,0,0,9,28,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Dumfries and Galloway College,55,Dumfries and Galloway,Educational Institutions,11,0,0,0,0,10,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dumfries and Galloway Council,56,Dumfries and Galloway,Local Government,1335,2,3,0,0,1210,75,50,19,0,0,876,123,99,236,0,103,0,0,0,0,82,14,7,0,0,0,70,7,2,8,0,0,23,20,3,0,19,4,0,0,0,0,0,0,0,87,,,,,,,1,1,,,,1,,,3,4,,,,,2,,,1,,,,,,,,,,,,,3,,,,58,,,,1,1,,,1,,,,,,,,,,,,
Dumfries and Galloway Licensing Board,57,Dumfries and Galloway,Local Government,21,,,,,21,,,,,,9,,,,,0,,,,,0,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dumfries and Galloway Health Board,58,Dumfries and Galloway,National Health Service,566,3,3,,,521,45,,3,,1,324,74,133,83,1,16,,,,,11,,,,,,8,,3,1,,831,18,16,2,,10,5,1,,,,,,,10,,,,,2,,,,,,,,2,,,,,,,,6,,,,,,,,,,,,,,,,,1,,,3,42,,1,1,,,,,,,,,,1,,,,,,
Dunbartonshire and Argyll and Bute Valuation Joint Board and Assessor Dunbartonshire and Argyll and Bute Valuation Joint Board,59,Strathclyde,Local Government,15,1,0,0,0,11,0,0,0,0,0,10,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dundee City Council and Licensing Board,60,Tayside,Local Government,1226,20,0,0,0,1148,36,5,51,0,1,761,183,240,243,2,475,9,2,8,0,474,34,1,0,3,0,381,58,69,101,1,58,26,22,2,0,5,17,2,3,3,0,0,2,1,39,0,0,0,0,1,0,0,2,0,0,0,0,3,2,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,3,83,0,0,1,0,0,0,0,0,0,0,1,0,5,4,0,0,0,4,0
East Ayrshire Council,63,Ayrshire,Local Government,1381,12,18,1,0,1336,45,0,19,0,4,1039,26,157,114,0,66,0,1,0,0,65,1,0,1,0,0,62,0,2,1,0,64,16,14,2,0,10,6,0,2,2,0,0,1,1,1,,,,,2,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,3,,,,11,,,,,,,,,,,,,,,,,,,
East Ayrshire Licensing Board,64,Ayrshire,Local Government,5,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Dunbartonshire Council and Licensing Board,65,Strathclyde,Local Government,1445,42,3,0,0,1399,43,3,5,0,9,948,39,291,88,0,183,5,0,0,0,183,0,0,0,0,0,151,9,12,5,0,63,20,18,2,0,14,6,0,3,3,0,0,1,2,66,,3,,,1,,,,,,,7,,,,,,,,11,,,,,,,,,8,,,,,,,,9,,,,137,39,,,1,,,,3,,,,,,,,,,4,,
East Lothian Council,67,Lothian and Borders,Local Government,1153,12,3,2,1,995,70,2,2,0,1,716,87,174,73,2,262,1,9,101,15,181,8,0,0,3,0,105,23,32,17,0,13,33,25,8,0,12,15,6,19,19,0,0,13,6,86,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,2,0,0,0,0,9,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,15,45,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,2,7,0
East Lothian Licensing Board,68,Lothian and Borders,Local Government,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Renfrewshire Council and Licensing Board,69,Strathclyde,Local Government,1038,2,9,2,0,849,144,27,5,2,0,792,71,127,57,0,299,2,0,0,0,257,31,13,0,0,0,204,28,39,22,0,45,20,14,2,0,15,1,0,8,5,1,0,4,2,93,0,0,0,0,1,0,0,0,0,0,0,0,1,1,4,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,1,35,0,0,1,0,0,0,1,0,0,0,0,0,8,0,0,0,0,1,0
Falkirk Council,71,Central,Local Government,1473,17,3,0,0,1189,233,14,17,0,2,976,190,170,200,20,162,0,0,0,0,148,14,0,10,0,0,139,4,13,2,0,125,38,26,7,3,13,8,9,5,3,2,0,3,2,17,2,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,6,8,0,0,8,28,0,0,1,85,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Falkirk Licensing Board,72,Central,Local Government,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fife Council and Licensing Board,73,Fife,Local Government,1833,21,11,0,0,1522,275,36,37,0,0,1068,417,312,146,0,600,4,1,0,0,512,75,7,9,5,1,348,91,152,47,0,679,76,71,5,1,31,30,12,28,28,0,0,15,13,59,,2,,,4,,,,,,,,2,,7,,,,,,5,,,,,,,,1,,,,,,,,4,23,,,47,83,,,8,239,,,4,2,,,,8,4,1,,,3,25,
Fife Health Board,75,Fife,National Health Service,527,1,0,0,0,306,218,59,10,0,0,358,44,103,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forth Valley College of Further and Higher Education,78,Central,Educational Institutions,25,0,0,0,0,25,0,0,0,0,0,20,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
